type,delta_bits,delta_frac
mod-mismatch,209.0146,0.8696
mod-mismatch,220.1271,0.9130
mod-mismatch,205.5651,0.8261
mod-mismatch,212.8743,0.9130
mod-mismatch,223.9887,0.9565
mod-mismatch,175.7863,0.8182
mod-mismatch,248.9911,1.0000
mod-mismatch,210.5575,0.9565
mod-mismatch,197.3934,0.9130
mod-mismatch,210.4870,0.9130
mod-mismatch,221.4178,0.8750
mod-mismatch,172.5938,0.7727
mod-mismatch,172.3608,0.8182
mod-mismatch,217.4152,0.9565
mod-mismatch,248.9331,1.0000
mod-mismatch,231.3716,0.9167
mod-mismatch,212.7812,0.8750
mod-mismatch,78.0119,0.3636
mod-mismatch,135.3564,0.6364
mod-mismatch,191.5523,0.9545
mod-mismatch,188.9362,0.7391
mod-mismatch,196.9698,0.8261
mod-mismatch,232.3710,0.9565
mod-mismatch,220.5116,0.9565
mod-mismatch,215.1260,0.9565
mod-mismatch,104.8646,0.4783
mod-mismatch,193.0380,0.8696
mod-mismatch,179.0230,0.8261
mod-mismatch,157.3582,0.6957
mod-mismatch,173.7586,0.7826
mod-mismatch,203.2115,0.9130
mod-mismatch,221.8490,0.9130
mod-mismatch,198.5844,0.9130
mod-mismatch,236.0975,0.8800
mod-mismatch,193.1914,0.8636
mod-mismatch,201.3447,0.9545
mod-mismatch,208.2480,1.0000
mod-mismatch,221.3027,0.9130
mod-mismatch,202.4814,0.9545
mod-mismatch,244.6547,1.0000
mod-mismatch,210.2657,0.8261
mod-mismatch,216.0677,0.9130
mod-mismatch,187.0515,0.7826
mod-mismatch,234.6903,1.0000
mod-mismatch,254.7315,0.9600
mod-mismatch,197.7825,0.8636
mod-mismatch,204.3690,0.8636
mod-mismatch,207.0880,0.9091
mod-mismatch,223.9353,1.0000
mod-mismatch,184.6714,0.8261
mod-mismatch,158.9443,0.7391
mod-mismatch,213.6206,0.8800
mod-mismatch,214.1873,0.9545
mod-mismatch,192.9609,0.9091
mod-mismatch,208.2440,1.0000
mod-mismatch,249.7772,1.0000
mod-mismatch,207.8263,0.8261
mod-mismatch,233.8019,1.0000
mod-mismatch,200.9039,0.8696
mod-mismatch,191.0441,0.8696
mod-mismatch,253.7327,1.0000
mod-mismatch,245.6408,1.0000
mod-mismatch,229.4578,0.9565
mod-mismatch,218.1444,0.8696
mod-mismatch,191.6920,0.9091
mod-mismatch,209.5295,1.0000
mod-mismatch,229.0857,0.9167
mod-mismatch,227.7789,0.9167
mod-mismatch,231.7029,0.9167
mod-mismatch,229.7770,0.9167
mod-mismatch,223.0637,0.9130
mod-mismatch,194.7275,0.8261
mod-mismatch,240.1206,0.9565
mod-mismatch,205.9918,0.9130
mod-mismatch,209.2108,0.8696
mod-mismatch,190.1772,0.9091
mod-mismatch,175.7500,0.8636
mod-mismatch,103.1344,0.4583
mod-mismatch,128.1692,0.5417
mod-mismatch,103.0417,0.4583
mod-mismatch,215.2579,0.9167
mod-mismatch,248.2635,1.0000
mod-mismatch,193.7638,0.8696
mod-mismatch,200.7828,0.9545
mod-mismatch,182.4324,0.8636
mod-mismatch,208.8741,0.9545
mod-mismatch,231.3708,0.8400
mod-mismatch,167.9064,0.7727
mod-mismatch,211.8003,0.9545
mod-mismatch,124.8348,0.5217
mod-mismatch,247.3657,1.0000
mod-mismatch,227.6906,1.0000
mod-mismatch,216.1523,0.9565
mod-mismatch,200.9892,0.9091
mod-mismatch,191.6800,0.9091
mod-mismatch,184.0956,0.8636
mod-mismatch,256.5036,0.9600
mod-mismatch,210.8988,0.9545
mod-mismatch,215.3181,0.9091
mod-mismatch,229.8173,0.9565
mod-mismatch,217.5863,0.9565
mod-mismatch,222.2942,1.0000
mod-mismatch,213.6932,0.8696
mod-mismatch,242.6078,1.0000
mod-mismatch,243.3813,1.0000
mod-mismatch,179.1891,0.7826
mod-mismatch,199.1323,0.8261
mod-mismatch,215.8826,0.8696
mod-mismatch,209.5936,0.9130
mod-mismatch,226.6872,0.9130
mod-mismatch,211.5944,0.9565
mod-mismatch,198.0396,0.9130
mod-mismatch,209.7957,0.9130
mod-mismatch,200.4842,0.9130
mod-mismatch,126.3272,0.5217
mod-mismatch,242.9124,1.0000
mod-mismatch,229.7885,0.9565
mod-mismatch,204.0912,0.9545
mod-mismatch,184.3459,0.9091
mod-mismatch,203.1457,0.9545
mod-mismatch,241.0629,1.0000
mod-mismatch,235.7013,0.9565
mod-mismatch,225.9430,0.9565
mod-mismatch,221.3924,0.9565
mod-mismatch,189.2876,0.8696
mod-mismatch,226.6397,0.9565
mod-mismatch,199.2197,0.9091
mod-mismatch,213.0301,0.9545
mod-mismatch,201.0007,0.9545
mod-mismatch,225.1312,0.9130
mod-mismatch,231.4014,1.0000
mod-mismatch,218.5528,0.8696
mod-mismatch,204.3648,0.9091
mod-mismatch,207.7954,1.0000
mod-mismatch,233.2499,0.9565
mod-mismatch,233.2307,1.0000
mod-mismatch,193.6122,0.7826
mod-mismatch,208.8212,0.8696
mod-mismatch,187.3989,0.8261
mod-mismatch,122.8322,0.5217
mod-mismatch,172.1749,0.7391
mod-mismatch,173.8962,0.7826
mod-mismatch,195.1248,0.8696
mod-mismatch,108.8174,0.4783
mod-mismatch,199.7157,0.8696
mod-mismatch,225.0986,1.0000
mod-mismatch,269.3559,1.0000
mod-mismatch,222.7315,0.9130
mod-mismatch,156.2758,0.7273
mod-mismatch,182.5320,0.8636
mod-mismatch,162.4971,0.7727
mod-mismatch,218.9190,1.0000
mod-mismatch,188.4729,0.8182
mod-mismatch,210.6334,0.8636
mod-mismatch,208.2811,0.9091
mod-mismatch,211.2541,0.9565
mod-mismatch,215.7495,0.9565
mod-mismatch,191.2470,0.8261
mod-mismatch,237.5547,1.0000
mod-mismatch,222.4505,0.9565
mod-mismatch,214.4277,0.9091
mod-mismatch,167.3512,0.7273
mod-mismatch,202.3494,0.9545
mod-mismatch,226.0807,0.9545
mod-mismatch,218.9209,0.9545
mod-mismatch,203.3029,0.8696
mod-mismatch,211.9914,0.9130
mod-mismatch,233.7188,1.0000
mod-mismatch,208.4792,0.8696
mod-mismatch,207.7233,0.8696
mod-mismatch,248.2388,1.0000
mod-mismatch,217.3471,0.9565
mod-mismatch,210.7653,0.9130
mod-mismatch,250.2361,0.9200
mod-mismatch,204.8818,1.0000
mod-mismatch,211.9318,0.8636
mod-mismatch,242.1252,1.0000
mod-mismatch,211.9349,1.0000
mod-mismatch,217.2779,0.9545
mod-mismatch,232.8758,0.9545
mod-mismatch,212.7820,0.8696
mod-mismatch,223.9262,0.9130
mod-mismatch,203.2417,0.8696
mod-mismatch,242.8416,1.0000
mod-mismatch,236.4785,0.9565
mod-mismatch,243.7089,1.0000
mod-mismatch,228.5612,1.0000
mod-mismatch,215.2045,0.9091
mod-mismatch,221.5410,0.9091
mod-mismatch,222.7168,0.9545
mod-mismatch,213.8219,0.9130
mod-mismatch,234.6257,0.9565
mod-mismatch,225.4262,0.9130
mod-mismatch,111.1998,0.4783
mod-mismatch,207.2140,0.9130
mod-mismatch,245.7582,1.0000
mod-mismatch,205.8730,0.8636
mod-mismatch,195.1519,0.8182
mod-mismatch,222.6830,1.0000
mod-mismatch,191.9138,0.8696
mod-mismatch,178.4185,0.8261
mod-mismatch,191.2461,0.8696
mod-mismatch,206.6601,0.9565
mod-mismatch,198.1237,0.8696
mod-mismatch,201.1560,0.9545
mod-mismatch,217.7506,0.9091
mod-mismatch,199.4586,0.8182
mod-mismatch,231.2621,0.9545
mod-mismatch,146.8177,0.6087
mod-mismatch,236.3218,1.0000
mod-mismatch,259.8743,0.9600
mod-mismatch,202.0354,0.9545
mod-mismatch,209.7713,1.0000
mod-mismatch,217.2064,1.0000
mod-mismatch,182.6931,0.8636
mod-mismatch,191.9392,0.9091
mod-mismatch,248.0675,1.0000
mod-mismatch,230.6661,1.0000
mod-mismatch,219.6844,1.0000
mod-mismatch,233.3386,1.0000
mod-mismatch,247.9993,1.0000
mod-mismatch,229.8950,0.9565
mod-mismatch,235.2825,0.9565
mod-mismatch,236.6758,0.9565
mod-mismatch,243.9659,0.9583
mod-mismatch,226.3412,0.9130
mod-mismatch,234.2329,0.9565
mod-mismatch,231.0538,1.0000
mod-mismatch,221.5781,0.9545
mod-mismatch,209.9990,0.9091
mod-mismatch,201.1741,0.9130
mod-mismatch,192.4438,0.8261
mod-mismatch,218.9003,0.9565
mod-mismatch,222.9864,0.9583
mod-mismatch,198.8080,0.8696
mod-mismatch,177.5525,0.7826
mod-mismatch,230.6453,0.9565
mod-mismatch,184.8506,0.8261
mod-mismatch,216.3442,0.9130
mod-mismatch,233.5458,1.0000
mod-mismatch,197.1739,0.9524
mod-mismatch,175.4590,0.9048
mod-mismatch,175.4374,0.8571
mod-mismatch,196.0340,1.0000
mod-mismatch,202.0029,1.0000
mod-mismatch,222.9560,0.9130
mod-mismatch,188.7709,0.8261
mod-mismatch,219.5477,1.0000
mod-mismatch,235.3620,0.9167
mod-mismatch,257.1487,1.0000
mod-mismatch,250.6586,0.9583
mod-mismatch,216.9684,0.8750
mod-mismatch,223.2066,0.9130
mod-mismatch,212.3894,0.8696
mod-mismatch,125.9962,0.5217
mod-mismatch,210.0782,0.8696
mod-mismatch,225.9157,0.9130
mod-mismatch,233.9194,0.9583
mod-mismatch,226.5453,0.9130
mod-mismatch,238.3937,1.0000
mod-mismatch,200.0986,0.8696
mod-mismatch,192.3414,0.9091
mod-mismatch,207.9010,0.9545
mod-mismatch,209.5002,0.9130
mod-mismatch,219.8297,0.9565
mod-mismatch,220.4481,0.9091
mod-mismatch,193.7942,0.9091
mod-mismatch,225.8630,0.9545
mod-mismatch,182.9619,0.7727
mod-mismatch,203.0820,0.9091
mod-mismatch,111.5075,0.4783
mod-mismatch,210.5644,0.9130
mod-mismatch,221.0479,0.9130
mod-mismatch,199.7834,0.9130
mod-mismatch,78.6529,0.3043
mod-mismatch,219.6155,0.9565
mod-mismatch,242.4821,1.0000
mod-mismatch,218.0561,0.9167
mod-mismatch,211.4252,0.9091
mod-mismatch,217.9224,1.0000
mod-mismatch,241.8841,0.9200
mod-mismatch,193.0575,0.9091
mod-mismatch,212.8300,0.8696
mod-mismatch,236.0750,1.0000
mod-mismatch,250.2462,1.0000
mod-mismatch,177.4419,0.8182
mod-mismatch,224.7830,1.0000
mod-mismatch,183.9628,0.8636
mod-mismatch,197.5757,0.9091
mod-mismatch,215.8836,1.0000
mod-mismatch,182.9081,0.7391
mod-mismatch,228.6864,0.9130
mod-mismatch,236.2745,0.9565
mod-mismatch,208.1086,0.8696
mod-mismatch,199.3141,0.8696
mod-mismatch,213.6408,1.0000
mod-mismatch,200.3893,0.9091
mod-mismatch,183.4667,0.8182
mod-mismatch,178.9413,0.8636
mod-mismatch,197.7798,0.9091
mod-mismatch,138.3755,0.6364
mod-mismatch,165.8376,0.8182
mod-mismatch,153.6630,0.7273
mod-mismatch,207.1939,1.0000
mod-mismatch,114.5558,0.4783
mod-mismatch,231.0256,0.9565
mod-mismatch,90.9982,0.3333
mod-mismatch,230.1791,0.9583
mod-mismatch,230.2381,0.9565
mod-mismatch,128.2215,0.5217
mod-mismatch,202.8890,0.8261
mod-mismatch,193.1245,0.8261
mod-mismatch,218.2189,1.0000
mod-mismatch,224.8872,0.9545
mod-mismatch,191.2794,0.8636
mod-mismatch,203.6669,0.9091
mod-mismatch,229.5542,0.9545
mod-mismatch,181.5867,0.8636
mod-mismatch,189.7851,0.8182
mod-mismatch,227.8938,0.9565
mod-mismatch,209.3726,0.9130
mod-mismatch,237.6144,1.0000
mod-mismatch,218.6281,0.8696
mod-mismatch,233.9728,0.9565
mod-mismatch,173.1975,0.7727
mod-mismatch,201.8627,0.9545
mod-mismatch,237.7384,0.9583
mod-mismatch,226.7393,0.9583
mod-mismatch,231.7524,0.9583
mod-mismatch,189.5911,0.8333
mod-mismatch,185.5941,0.7500
mod-mismatch,66.9478,0.2500
mod-mismatch,183.1825,0.7500
mod-mismatch,230.5799,0.9583
mod-mismatch,212.9835,1.0000
mod-mismatch,203.6884,0.8636
mod-mismatch,225.4150,0.9545
mod-mismatch,182.2544,0.8636
mod-mismatch,201.4273,0.8636
mod-mismatch,202.7549,0.8636
mod-mismatch,195.4367,0.9091
mod-mismatch,217.6552,0.9565
mod-mismatch,207.9346,0.9545
mod-mismatch,232.1424,0.9167
mod-mismatch,254.1030,1.0000
mod-mismatch,173.0581,0.8182
mod-mismatch,189.9439,0.9091
mod-mismatch,188.8179,0.8636
mod-mismatch,209.4912,0.9545
mod-mismatch,219.9866,0.9565
mod-mismatch,218.7623,0.8696
mod-mismatch,204.3875,0.8696
mod-mismatch,241.4447,1.0000
mod-mismatch,258.9212,0.9600
mod-mismatch,187.9594,0.8182
mod-mismatch,104.1709,0.4545
mod-mismatch,184.3242,0.8182
mod-mismatch,215.6675,0.9545
mod-mismatch,206.2134,0.9130
mod-mismatch,170.0615,0.7826
mod-mismatch,200.7393,0.8696
mod-mismatch,197.9215,0.9130
mod-mismatch,222.5688,0.9091
mod-mismatch,241.0491,1.0000
mod-mismatch,247.6820,0.9583
mod-mismatch,230.3015,0.9583
mod-mismatch,238.1722,0.9167
mod-mismatch,221.0564,1.0000
mod-mismatch,230.5538,0.9565
mod-mismatch,251.2822,0.9600
mod-mismatch,206.1428,0.8333
mod-mismatch,233.8927,0.9167
mod-mismatch,210.5594,0.9091
mod-mismatch,209.8196,0.9091
mod-mismatch,193.1330,0.8636
mod-mismatch,195.3717,0.9545
mod-mismatch,162.3898,0.7273
mod-mismatch,161.2441,0.7273
mod-mismatch,203.1846,0.9545
mod-mismatch,217.6546,0.9545
mod-mismatch,182.6567,0.7727
mod-mismatch,195.8689,0.8182
mod-mismatch,224.7925,1.0000
mod-mismatch,200.2388,0.8636
mod-mismatch,224.8417,0.9545
mod-mismatch,210.6636,0.9130
mod-mismatch,105.5996,0.4783
mod-mismatch,181.9163,0.8261
mod-mismatch,92.9902,0.3913
mod-mismatch,200.7987,0.8696
mod-mismatch,176.3725,0.7917
mod-mismatch,198.8625,0.9091
mod-mismatch,249.5828,1.0000
mod-mismatch,185.3476,0.8261
mod-mismatch,209.9241,0.9130
mod-mismatch,230.1668,0.9130
mod-mismatch,179.0928,0.7727
mod-mismatch,113.3204,0.5000
mod-mismatch,172.1521,0.7727
mod-mismatch,203.5612,0.9091
mod-mismatch,119.9400,0.5000
mod-mismatch,215.5720,0.9091
mod-mismatch,189.6673,0.9091
mod-mismatch,211.9544,0.8696
mod-mismatch,239.2776,1.0000
mod-mismatch,235.7843,0.9565
mod-mismatch,119.6607,0.4783
mod-mismatch,235.4773,0.9565
mod-mismatch,236.3059,0.9565
mod-mismatch,206.5890,0.8333
mod-mismatch,219.3187,0.8750
mod-mismatch,188.6594,0.8636
mod-mismatch,124.2807,0.5455
mod-mismatch,192.8226,0.8636
mod-mismatch,168.1629,0.7727
mod-mismatch,230.5270,1.0000
mod-mismatch,230.6585,0.8750
mod-mismatch,240.5750,0.9583
mod-mismatch,244.3184,0.9583
mod-mismatch,225.7428,0.8750
mod-mismatch,216.8624,0.9130
mod-mismatch,195.0768,0.7826
mod-mismatch,203.4778,0.8696
mod-mismatch,228.6643,0.9565
mod-mismatch,215.6568,0.8696
mod-mismatch,210.3979,0.9130
mod-mismatch,169.7553,0.8182
mod-mismatch,200.2015,0.9545
mod-mismatch,183.7904,0.8636
mod-mismatch,199.7906,0.9091
mod-mismatch,252.7629,0.9600
mod-mismatch,219.1661,0.8400
mod-mismatch,239.5927,0.9200
mod-mismatch,250.9192,0.9600
mod-mismatch,194.0593,0.8182
mod-mismatch,239.4438,0.9167
mod-mismatch,175.5943,0.8182
mod-mismatch,205.2813,0.9545
mod-mismatch,191.4988,0.9091
mod-mismatch,165.5390,0.7727
mod-mismatch,162.0885,0.7273
mod-mismatch,183.9743,0.8182
