type,delta_bits,delta_frac
mod-mismatch,253.2893,1.0000
mod-mismatch,220.9367,0.8750
mod-mismatch,218.2543,0.9167
mod-mismatch,188.4724,0.7391
mod-mismatch,238.6589,1.0000
mod-mismatch,79.7085,0.3043
mod-mismatch,223.8260,0.9130
mod-mismatch,200.3168,0.9130
mod-mismatch,89.9771,0.3913
mod-mismatch,222.5199,0.9565
mod-mismatch,111.7117,0.4783
mod-mismatch,98.5431,0.4348
mod-mismatch,110.7864,0.4783
mod-mismatch,216.7542,0.9565
mod-mismatch,90.0764,0.3913
mod-mismatch,222.8932,0.9565
mod-mismatch,213.5942,0.9565
mod-mismatch,200.0439,0.8696
mod-mismatch,233.7560,0.9565
mod-mismatch,251.0880,0.9600
mod-mismatch,201.3430,0.8636
mod-mismatch,228.0381,1.0000
mod-mismatch,193.2621,0.8182
mod-mismatch,204.9146,0.8636
mod-mismatch,229.9321,0.9545
mod-mismatch,185.6927,0.8636
mod-mismatch,219.5776,1.0000
mod-mismatch,235.9901,1.0000
mod-mismatch,200.1532,0.9091
mod-mismatch,170.5768,0.8182
mod-mismatch,198.0181,0.9091
mod-mismatch,202.1594,0.9545
mod-mismatch,210.9141,0.9545
mod-mismatch,230.7194,0.9130
mod-mismatch,226.1067,0.9565
mod-mismatch,230.9816,0.9130
mod-mismatch,236.9596,1.0000
mod-mismatch,215.4209,0.9130
mod-mismatch,225.0097,0.9545
mod-mismatch,178.9052,0.7727
mod-mismatch,191.4384,0.8636
mod-mismatch,210.5536,1.0000
mod-mismatch,234.4021,1.0000
mod-mismatch,218.2229,0.9545
mod-mismatch,206.2172,0.9091
mod-mismatch,226.8935,1.0000
mod-mismatch,195.6906,0.8182
mod-mismatch,199.7435,0.9091
mod-mismatch,191.7220,0.8182
mod-mismatch,201.4603,0.9545
mod-mismatch,205.5622,0.8636
mod-mismatch,204.9090,0.9545
mod-mismatch,221.5579,1.0000
mod-mismatch,185.7708,0.8182
mod-mismatch,212.8953,0.9545
mod-mismatch,208.8646,0.9545
mod-mismatch,180.6180,0.7391
mod-mismatch,217.7668,0.9130
mod-mismatch,254.8451,1.0000
mod-mismatch,177.9609,0.7826
mod-mismatch,183.8989,0.8261
mod-mismatch,181.2096,0.7826
mod-mismatch,185.7262,0.8261
mod-mismatch,228.4012,1.0000
mod-mismatch,216.9331,0.9130
mod-mismatch,247.8350,1.0000
mod-mismatch,192.9044,0.7727
mod-mismatch,214.5181,0.9545
mod-mismatch,222.3810,1.0000
mod-mismatch,177.5041,0.7727
mod-mismatch,221.0458,0.9545
mod-mismatch,185.1626,0.8636
mod-mismatch,229.1035,0.8800
mod-mismatch,261.4320,1.0000
mod-mismatch,207.5867,1.0000
mod-mismatch,175.5933,0.8095
mod-mismatch,115.9231,0.5714
mod-mismatch,177.1529,0.9048
mod-mismatch,233.3123,0.9167
mod-mismatch,180.1081,0.8636
mod-mismatch,211.6213,0.9545
mod-mismatch,200.3793,0.9091
mod-mismatch,204.8370,0.8261
mod-mismatch,202.3223,0.8696
mod-mismatch,227.3059,0.9565
mod-mismatch,177.8204,0.7727
mod-mismatch,227.1049,1.0000
mod-mismatch,211.2071,0.9091
mod-mismatch,219.8178,0.9091
mod-mismatch,172.8555,0.8182
mod-mismatch,172.2457,0.7727
mod-mismatch,222.6845,0.9545
mod-mismatch,205.2950,0.8636
mod-mismatch,202.8305,0.8636
mod-mismatch,214.8124,0.9091
mod-mismatch,191.7719,0.9091
mod-mismatch,238.3177,1.0000
mod-mismatch,244.6421,0.9583
mod-mismatch,213.7316,0.9545
mod-mismatch,223.6065,0.9545
mod-mismatch,218.1536,0.9091
mod-mismatch,231.9475,1.0000
mod-mismatch,223.5444,1.0000
mod-mismatch,180.5402,0.8636
mod-mismatch,206.0354,0.9545
mod-mismatch,201.4092,0.9545
mod-mismatch,223.2483,1.0000
mod-mismatch,180.9096,0.8636
mod-mismatch,205.9996,0.9545
mod-mismatch,191.3847,0.9091
mod-mismatch,206.2580,0.8333
mod-mismatch,211.4249,0.7917
mod-mismatch,208.3700,0.8750
mod-mismatch,226.1382,0.9130
mod-mismatch,110.3540,0.4348
mod-mismatch,238.1179,0.9565
mod-mismatch,129.2473,0.4783
mod-mismatch,102.4606,0.3913
mod-mismatch,220.7437,0.9130
mod-mismatch,109.8211,0.4348
mod-mismatch,226.7331,0.9130
mod-mismatch,230.4234,0.9130
mod-mismatch,131.3207,0.5652
mod-mismatch,221.3188,0.9565
mod-mismatch,208.0393,0.9130
mod-mismatch,164.6203,0.6522
mod-mismatch,217.8716,0.8696
mod-mismatch,233.4980,0.8800
mod-mismatch,216.4140,0.8696
mod-mismatch,242.7049,1.0000
mod-mismatch,166.0395,0.7391
mod-mismatch,226.0493,1.0000
mod-mismatch,226.1212,0.9565
mod-mismatch,212.8878,0.9565
mod-mismatch,239.5299,1.0000
mod-mismatch,197.9249,0.9545
mod-mismatch,197.3651,0.9091
mod-mismatch,233.9905,0.9167
mod-mismatch,226.0349,0.8750
mod-mismatch,223.4670,0.8750
mod-mismatch,249.0304,0.9583
mod-mismatch,219.0990,0.9583
mod-mismatch,190.8238,0.8636
mod-mismatch,200.2527,0.8636
mod-mismatch,207.3122,0.9545
mod-mismatch,228.2485,1.0000
mod-mismatch,234.4940,1.0000
mod-mismatch,233.7008,0.9167
mod-mismatch,235.1772,0.9565
mod-mismatch,213.9212,0.8696
mod-mismatch,214.7892,0.9130
mod-mismatch,204.8176,0.9130
mod-mismatch,197.6296,0.9524
mod-mismatch,212.9624,1.0000
mod-mismatch,174.6465,0.8095
mod-mismatch,192.3848,0.9048
mod-mismatch,188.7674,0.9048
mod-mismatch,172.9500,0.8571
mod-mismatch,189.6203,0.9048
mod-mismatch,194.1399,0.9524
mod-mismatch,181.5643,0.8571
mod-mismatch,176.3175,0.8095
mod-mismatch,169.4630,0.8571
mod-mismatch,216.1363,0.9167
mod-mismatch,205.3441,0.9091
mod-mismatch,183.4833,0.8182
mod-mismatch,222.2309,0.9545
mod-mismatch,210.8641,1.0000
mod-mismatch,223.0158,0.9545
mod-mismatch,231.8579,1.0000
mod-mismatch,222.1696,0.9545
mod-mismatch,234.2355,1.0000
mod-mismatch,230.3594,1.0000
mod-mismatch,224.8446,1.0000
mod-mismatch,198.2547,0.8636
mod-mismatch,220.6605,0.8750
mod-mismatch,222.7445,0.9545
mod-mismatch,235.9793,1.0000
mod-mismatch,186.2310,0.8182
mod-mismatch,224.5238,1.0000
mod-mismatch,220.4421,0.9091
mod-mismatch,206.7262,0.9545
mod-mismatch,221.6590,0.9091
mod-mismatch,207.0271,0.9545
mod-mismatch,195.0415,0.8636
mod-mismatch,211.6068,0.9091
mod-mismatch,254.3631,0.9600
mod-mismatch,209.0229,0.9545
mod-mismatch,193.9728,0.8182
mod-mismatch,223.8606,0.9545
mod-mismatch,209.6727,0.9545
mod-mismatch,219.3756,0.9545
mod-mismatch,210.4524,0.8636
mod-mismatch,238.5633,1.0000
mod-mismatch,130.7917,0.5455
mod-mismatch,236.3740,1.0000
mod-mismatch,211.3246,0.8636
mod-mismatch,238.0375,1.0000
mod-mismatch,220.6377,0.9545
mod-mismatch,219.6065,1.0000
mod-mismatch,193.2788,0.8182
mod-mismatch,234.8732,1.0000
mod-mismatch,209.6612,0.9545
mod-mismatch,224.2222,0.9130
mod-mismatch,220.3707,0.9130
mod-mismatch,214.5436,0.8696
mod-mismatch,219.4184,0.8696
mod-mismatch,196.7203,0.8261
mod-mismatch,188.8890,0.7391
mod-mismatch,208.7529,0.8261
mod-mismatch,229.6894,0.9565
mod-mismatch,207.4877,0.8261
mod-mismatch,180.4122,0.7391
mod-mismatch,198.5141,0.8261
mod-mismatch,223.3433,0.9130
mod-mismatch,215.8380,0.8696
mod-mismatch,237.7369,0.9565
mod-mismatch,188.3577,0.7727
mod-mismatch,231.2434,0.9545
mod-mismatch,189.8592,0.7727
mod-mismatch,225.7938,1.0000
mod-mismatch,205.7515,0.8636
mod-mismatch,180.7345,0.8636
mod-mismatch,225.3115,0.8750
mod-mismatch,207.7914,0.8750
mod-mismatch,215.6051,0.9167
mod-mismatch,257.0795,1.0000
mod-mismatch,236.0216,0.9167
mod-mismatch,213.9846,1.0000
mod-mismatch,238.4549,0.9200
mod-mismatch,204.2438,0.8636
mod-mismatch,220.3304,0.9091
mod-mismatch,195.2496,0.8636
mod-mismatch,214.1989,0.9091
mod-mismatch,116.7649,0.4783
mod-mismatch,188.9748,0.7826
mod-mismatch,240.6752,1.0000
mod-mismatch,230.7211,1.0000
mod-mismatch,240.8216,1.0000
mod-mismatch,194.2284,0.9524
mod-mismatch,211.1781,0.8571
mod-mismatch,237.4520,1.0000
mod-mismatch,209.3722,1.0000
mod-mismatch,157.8323,0.7619
mod-mismatch,169.4571,0.8571
mod-mismatch,195.3397,0.8095
mod-mismatch,213.8271,0.9524
mod-mismatch,209.9228,0.9524
mod-mismatch,231.7997,0.9545
mod-mismatch,213.9987,0.9545
mod-mismatch,242.4277,0.9583
mod-mismatch,229.1264,0.8750
mod-mismatch,241.6952,0.9583
mod-mismatch,161.6550,0.7273
mod-mismatch,182.2229,0.8636
mod-mismatch,151.7687,0.7273
mod-mismatch,163.0731,0.7727
mod-mismatch,193.0078,0.9091
mod-mismatch,191.9545,0.9091
mod-mismatch,153.2446,0.7273
mod-mismatch,197.7927,0.9545
mod-mismatch,210.9638,0.9545
mod-mismatch,193.6039,0.9545
mod-mismatch,247.0522,1.0000
mod-mismatch,230.1034,0.9565
mod-mismatch,122.3040,0.5217
mod-mismatch,194.6473,0.8261
mod-mismatch,232.4681,1.0000
mod-mismatch,237.2485,0.9565
mod-mismatch,224.4107,0.9583
mod-mismatch,213.0679,0.8333
mod-mismatch,208.8749,0.9130
mod-mismatch,221.1030,0.9545
mod-mismatch,197.9140,0.9091
mod-mismatch,173.6539,0.8182
mod-mismatch,178.0917,0.8182
mod-mismatch,185.9068,0.7727
mod-mismatch,220.1719,0.9545
mod-mismatch,216.6066,1.0000
mod-mismatch,218.8999,0.9091
mod-mismatch,192.9635,0.9091
mod-mismatch,227.2028,0.9545
mod-mismatch,236.8670,1.0000
mod-mismatch,237.2870,1.0000
mod-mismatch,225.2075,0.9545
mod-mismatch,237.6753,1.0000
mod-mismatch,224.9172,1.0000
mod-mismatch,238.4711,1.0000
mod-mismatch,180.2378,0.8182
mod-mismatch,217.7393,1.0000
mod-mismatch,236.8381,1.0000
mod-mismatch,206.3397,0.8636
mod-mismatch,221.8325,0.9545
mod-mismatch,196.3820,0.8182
mod-mismatch,230.7998,0.9545
mod-mismatch,209.3691,0.9091
mod-mismatch,228.6615,0.9130
mod-mismatch,213.9278,0.9091
mod-mismatch,194.1928,0.9091
mod-mismatch,195.0132,0.9091
mod-mismatch,235.0548,0.8400
mod-mismatch,222.0845,0.9583
mod-mismatch,130.0819,0.5455
mod-mismatch,237.6640,1.0000
mod-mismatch,207.6713,1.0000
mod-mismatch,121.7955,0.5455
mod-mismatch,195.2814,0.8636
mod-mismatch,211.2689,1.0000
mod-mismatch,217.6227,0.8696
mod-mismatch,208.7089,0.9091
mod-mismatch,226.5357,0.9545
mod-mismatch,234.0623,0.9545
mod-mismatch,198.0961,0.9545
mod-mismatch,214.7967,0.9091
mod-mismatch,215.3482,0.9545
mod-mismatch,213.7332,0.8636
mod-mismatch,152.5715,0.6818
mod-mismatch,131.6473,0.5909
mod-mismatch,201.1680,0.9091
mod-mismatch,255.0646,0.9600
mod-mismatch,203.2221,0.8636
mod-mismatch,209.2188,0.9545
mod-mismatch,224.0705,0.9545
mod-mismatch,224.5511,0.9545
mod-mismatch,205.6860,0.8636
mod-mismatch,208.4269,0.8636
mod-mismatch,226.6846,0.9545
mod-mismatch,200.2393,0.8636
mod-mismatch,161.8318,0.6818
mod-mismatch,220.4497,0.9545
mod-mismatch,189.5918,0.8636
mod-mismatch,220.3564,1.0000
mod-mismatch,202.8415,0.8636
mod-mismatch,187.0430,0.7727
mod-mismatch,215.7100,0.9091
mod-mismatch,235.3862,1.0000
mod-mismatch,197.3517,0.8636
mod-mismatch,209.6148,0.9091
mod-mismatch,191.6141,0.8182
mod-mismatch,202.4240,0.8636
mod-mismatch,192.8331,0.9091
mod-mismatch,219.6677,0.9545
mod-mismatch,192.9747,0.8696
mod-mismatch,214.5341,0.8696
mod-mismatch,217.3943,0.8696
mod-mismatch,185.3677,0.7391
mod-mismatch,207.1059,0.9130
mod-mismatch,218.2925,0.9091
mod-mismatch,255.8380,1.0000
mod-mismatch,213.9081,0.9565
mod-mismatch,224.8382,0.8750
mod-mismatch,180.6171,0.7500
mod-mismatch,244.7583,0.9583
mod-mismatch,175.0906,0.8182
mod-mismatch,201.0780,0.8636
mod-mismatch,204.1511,0.9091
mod-mismatch,220.2007,0.9545
mod-mismatch,253.4117,1.0000
mod-mismatch,217.5912,0.9167
mod-mismatch,229.1344,0.9167
mod-mismatch,146.6381,0.5833
mod-mismatch,234.6296,0.9583
mod-mismatch,208.4169,0.8333
mod-mismatch,187.0959,0.8182
mod-mismatch,214.6729,0.9545
mod-mismatch,129.7611,0.5455
mod-mismatch,224.4010,0.9545
mod-mismatch,185.1038,0.8182
mod-mismatch,216.0452,0.9545
mod-mismatch,195.9515,0.7500
mod-mismatch,236.1070,0.9167
mod-mismatch,186.1842,0.8636
mod-mismatch,192.2195,0.9091
mod-mismatch,159.3354,0.7273
mod-mismatch,199.7228,0.9091
mod-mismatch,189.9224,0.9091
mod-mismatch,219.6319,1.0000
mod-mismatch,225.7884,0.9545
mod-mismatch,237.1520,1.0000
mod-mismatch,224.5979,0.9130
mod-mismatch,208.0113,0.8696
mod-mismatch,196.3791,0.8261
mod-mismatch,197.2379,0.7826
mod-mismatch,236.7591,1.0000
mod-mismatch,217.6166,0.9130
mod-mismatch,213.1997,0.8333
mod-mismatch,159.0760,0.7273
mod-mismatch,80.4008,0.3636
mod-mismatch,208.2397,0.9545
mod-mismatch,244.2767,0.9583
mod-mismatch,194.1790,0.8696
mod-mismatch,113.0268,0.4783
mod-mismatch,198.3318,0.8696
mod-mismatch,96.7974,0.4348
mod-mismatch,184.4044,0.8261
mod-mismatch,113.0718,0.4783
mod-mismatch,188.7970,0.8261
mod-mismatch,213.0607,0.9565
mod-mismatch,194.6218,0.9524
mod-mismatch,201.7579,0.9524
mod-mismatch,175.1484,0.8571
mod-mismatch,171.5777,0.8571
mod-mismatch,207.9659,1.0000
mod-mismatch,175.8193,0.8571
mod-mismatch,183.3262,0.9048
mod-mismatch,232.4443,1.0000
mod-mismatch,185.1573,0.8636
mod-mismatch,220.4870,0.9545
mod-mismatch,193.0674,0.9091
mod-mismatch,84.1754,0.3636
mod-mismatch,210.8228,0.9545
mod-mismatch,234.0641,1.0000
mod-mismatch,213.0505,1.0000
mod-mismatch,235.2599,1.0000
mod-mismatch,246.4739,1.0000
mod-mismatch,213.3608,0.9130
mod-mismatch,236.4613,0.9565
mod-mismatch,221.4519,0.9565
mod-mismatch,170.3886,0.6818
mod-mismatch,233.3791,1.0000
mod-mismatch,192.5103,0.9091
mod-mismatch,195.7979,0.8182
mod-mismatch,238.4981,1.0000
mod-mismatch,178.5311,0.8182
mod-mismatch,178.8810,0.8636
mod-mismatch,196.6431,0.9524
mod-mismatch,208.5212,0.9048
mod-mismatch,211.1527,1.0000
mod-mismatch,204.6803,0.9524
mod-mismatch,147.4261,0.5652
mod-mismatch,241.9922,1.0000
mod-mismatch,189.3807,0.8636
mod-mismatch,196.9747,0.8636
mod-mismatch,197.0573,0.9545
mod-mismatch,215.5278,0.9091
mod-mismatch,207.3847,0.9091
mod-mismatch,240.1941,0.9565
mod-mismatch,206.9328,0.9565
mod-mismatch,210.5001,0.8261
mod-mismatch,230.1481,0.9565
mod-mismatch,202.7303,0.9130
mod-mismatch,224.8300,1.0000
mod-mismatch,202.0204,0.8261
mod-mismatch,230.7447,0.9130
mod-mismatch,225.3515,1.0000
mod-mismatch,235.2228,0.9565
mod-mismatch,244.6583,1.0000
mod-mismatch,225.3633,0.9130
mod-mismatch,245.4337,1.0000
mod-mismatch,214.7067,0.9565
mod-mismatch,245.0409,1.0000
mod-mismatch,215.8765,0.9130
mod-mismatch,221.6073,0.9130
mod-mismatch,249.0833,1.0000
mod-mismatch,227.1248,0.9130
mod-mismatch,226.0634,0.9130
mod-mismatch,229.6822,1.0000
mod-mismatch,200.9714,0.8261
mod-mismatch,220.6267,0.9130
mod-mismatch,165.4599,0.7727
mod-mismatch,196.0071,0.8750
mod-mismatch,192.9947,0.7917
mod-mismatch,217.9746,0.9167
mod-mismatch,200.1782,0.9091
mod-mismatch,180.8687,0.8636
mod-mismatch,89.5523,0.4091
mod-mismatch,206.4403,0.9545
mod-mismatch,200.8432,0.9091
mod-mismatch,208.9205,1.0000
mod-mismatch,238.5335,1.0000
mod-mismatch,211.8854,0.9130
mod-mismatch,189.8152,0.7083
mod-mismatch,230.9864,0.9583
mod-mismatch,238.2018,0.9583
mod-mismatch,232.0049,1.0000
mod-mismatch,214.5939,0.9091
mod-mismatch,223.8148,1.0000
mod-mismatch,173.9261,0.8182
mod-mismatch,193.2129,0.9091
mod-mismatch,206.5237,0.7600
mod-mismatch,200.1364,0.9524
mod-mismatch,187.2611,0.9048
mod-mismatch,202.2038,1.0000
mod-mismatch,185.4039,0.9048
mod-mismatch,201.0756,1.0000
mod-mismatch,192.1310,0.9048
mod-mismatch,181.1503,0.8571
mod-mismatch,203.5134,0.9524
mod-mismatch,158.4222,0.8095
mod-mismatch,174.1042,0.7391
mod-mismatch,205.8387,0.9130
mod-mismatch,208.3673,0.9130
mod-mismatch,96.5687,0.3913
mod-mismatch,213.5148,0.8696
mod-mismatch,101.0401,0.4348
mod-mismatch,67.3666,0.2609
mod-mismatch,214.3274,0.9130
mod-mismatch,97.0302,0.3913
mod-mismatch,221.2341,0.9130
mod-mismatch,208.0023,0.9130
mod-mismatch,230.8485,1.0000
mod-mismatch,218.0653,0.8696
mod-mismatch,224.1221,0.9565
mod-mismatch,230.1479,0.9565
mod-mismatch,231.6377,1.0000
mod-mismatch,263.4937,1.0000
mod-mismatch,207.4193,0.8636
mod-mismatch,215.5624,0.9091
mod-mismatch,207.5189,0.9545
mod-mismatch,196.8359,0.8182
mod-mismatch,169.4248,0.7727
mod-mismatch,224.8737,1.0000
mod-mismatch,186.6499,0.8182
mod-mismatch,236.5211,1.0000
mod-mismatch,211.5588,0.9091
mod-mismatch,194.6844,0.8636
mod-mismatch,204.1977,0.8636
mod-mismatch,205.3129,0.9091
mod-mismatch,200.6923,0.8636
mod-mismatch,162.5714,0.7727
mod-mismatch,221.0137,0.9167
mod-mismatch,231.9295,0.9167
mod-mismatch,234.2918,0.9167
mod-mismatch,213.9088,0.9545
mod-mismatch,193.0024,0.8636
mod-mismatch,168.2395,0.7273
mod-mismatch,212.9658,0.9545
mod-mismatch,190.7312,0.8636
mod-mismatch,195.6818,0.8636
mod-mismatch,184.5725,0.8182
mod-mismatch,213.7462,0.9545
mod-mismatch,227.1162,0.8800
mod-mismatch,207.9312,0.8636
mod-mismatch,228.5842,0.9545
mod-mismatch,191.8167,0.7917
mod-mismatch,247.1495,0.9583
mod-mismatch,225.6455,1.0000
mod-mismatch,223.4435,0.9545
mod-mismatch,236.1444,0.9583
mod-mismatch,223.5024,0.9545
mod-mismatch,198.3739,0.9545
mod-mismatch,173.4050,0.7727
mod-mismatch,212.8422,1.0000
mod-mismatch,218.0219,0.9545
mod-mismatch,202.1137,0.9545
mod-mismatch,203.1415,0.9091
mod-mismatch,189.8118,0.8636
mod-mismatch,179.4736,0.7727
mod-mismatch,202.4256,0.8636
mod-mismatch,183.9733,0.7391
mod-mismatch,249.8172,1.0000
mod-mismatch,241.0735,1.0000
mod-mismatch,199.9674,0.9091
mod-mismatch,209.1552,0.9091
mod-mismatch,216.3826,1.0000
mod-mismatch,230.2459,0.9545
mod-mismatch,227.1220,0.9545
mod-mismatch,242.3204,0.9565
mod-mismatch,203.7652,0.8261
mod-mismatch,228.2958,1.0000
mod-mismatch,230.0002,0.9565
mod-mismatch,195.8282,0.8696
mod-mismatch,228.3953,0.9130
mod-mismatch,190.3603,0.9091
mod-mismatch,112.3068,0.5000
mod-mismatch,207.4773,0.9545
mod-mismatch,176.2455,0.7727
mod-mismatch,209.9380,0.9091
mod-mismatch,217.7924,0.8400
mod-mismatch,207.8954,0.9545
mod-mismatch,208.9976,0.9545
mod-mismatch,194.3926,0.8182
mod-mismatch,208.1406,0.9545
mod-mismatch,231.1745,0.9200
mod-mismatch,180.0286,0.7727
mod-mismatch,225.6137,0.9545
mod-mismatch,234.0222,1.0000
mod-mismatch,228.9039,0.9167
mod-mismatch,196.9136,0.8261
mod-mismatch,189.3395,0.7826
mod-mismatch,193.1232,0.7826
mod-mismatch,208.8104,0.9130
mod-mismatch,124.3976,0.5217
mod-mismatch,216.1597,0.9565
mod-mismatch,188.4626,0.7826
mod-mismatch,193.2425,0.7826
mod-mismatch,189.3774,0.8261
mod-mismatch,235.7198,1.0000
mod-mismatch,181.5700,0.8261
mod-mismatch,226.8194,0.9130
mod-mismatch,170.8844,0.7826
mod-mismatch,238.2726,1.0000
mod-mismatch,235.4898,0.9565
mod-mismatch,223.7427,0.9130
mod-mismatch,225.1043,1.0000
mod-mismatch,239.9445,1.0000
mod-mismatch,218.6722,0.9545
mod-mismatch,207.3821,0.9091
mod-mismatch,174.1988,0.8571
mod-mismatch,169.9141,0.8571
mod-mismatch,125.5613,0.6190
mod-mismatch,172.1282,0.8571
mod-mismatch,161.3725,0.8095
mod-mismatch,163.4040,0.8095
mod-mismatch,150.3979,0.7143
mod-mismatch,162.9936,0.8095
mod-mismatch,174.5083,0.8571
mod-mismatch,189.6929,0.9524
mod-mismatch,201.0783,0.7500
mod-mismatch,241.7529,0.9583
mod-mismatch,234.1409,0.9167
mod-mismatch,211.4173,0.9130
mod-mismatch,196.5637,0.9545
mod-mismatch,185.2181,0.8636
mod-mismatch,202.8764,0.9091
mod-mismatch,223.3811,0.9565
mod-mismatch,204.7426,0.8261
mod-mismatch,213.1577,0.9130
mod-mismatch,228.6303,0.9130
mod-mismatch,225.0565,1.0000
mod-mismatch,218.0976,0.9130
mod-mismatch,227.1118,0.9130
mod-mismatch,233.3510,0.9565
mod-mismatch,226.4066,0.9565
mod-mismatch,238.8573,0.9565
mod-mismatch,231.5430,0.9167
mod-mismatch,222.9747,0.9545
mod-mismatch,230.1654,1.0000
mod-mismatch,192.2033,0.8182
mod-mismatch,225.8020,0.9545
mod-mismatch,207.9204,1.0000
mod-mismatch,199.5545,0.8182
mod-mismatch,211.7954,0.9091
mod-mismatch,194.6670,0.8182
mod-mismatch,195.0654,0.8182
mod-mismatch,163.6078,0.7727
mod-mismatch,210.5804,0.9545
mod-mismatch,219.2883,0.9545
mod-mismatch,240.3338,0.9565
mod-mismatch,212.9718,0.9091
mod-mismatch,200.1196,0.9091
mod-mismatch,216.5773,0.9091
mod-mismatch,222.4107,0.9545
mod-mismatch,157.3985,0.7273
mod-mismatch,159.9492,0.7273
mod-mismatch,210.8358,0.9545
mod-mismatch,255.8233,1.0000
mod-mismatch,239.7450,0.9167
mod-mismatch,254.7132,1.0000
mod-mismatch,247.9000,0.9583
mod-mismatch,145.7693,0.7143
mod-mismatch,181.7011,0.8571
mod-mismatch,171.5569,0.8571
mod-mismatch,207.5641,0.9524
mod-mismatch,233.7928,1.0000
mod-mismatch,187.5610,0.9524
mod-mismatch,214.6000,0.9524
mod-mismatch,190.1123,0.9524
mod-mismatch,178.3461,0.8571
mod-mismatch,206.6015,0.9524
mod-mismatch,230.7379,1.0000
mod-mismatch,204.5055,0.9524
mod-mismatch,173.3815,0.8095
mod-mismatch,193.1608,0.9091
mod-mismatch,202.5787,0.8636
mod-mismatch,214.9359,0.8636
mod-mismatch,204.9039,0.8636
mod-mismatch,203.4942,0.7917
mod-mismatch,226.0243,0.9167
mod-mismatch,201.8992,0.7917
mod-mismatch,242.7387,0.9583
mod-mismatch,212.2765,0.9167
mod-mismatch,229.9405,0.9583
mod-mismatch,218.0978,0.8696
mod-mismatch,126.7600,0.5217
mod-mismatch,215.1239,0.8696
mod-mismatch,219.1259,0.8696
mod-mismatch,115.0524,0.4783
mod-mismatch,121.9944,0.4783
mod-mismatch,115.2182,0.4783
mod-mismatch,215.6536,0.8696
mod-mismatch,216.7234,0.8696
mod-mismatch,126.8844,0.5217
mod-mismatch,215.8597,0.8696
mod-mismatch,249.4184,1.0000
mod-mismatch,235.1323,0.9583
mod-mismatch,99.7123,0.4348
mod-mismatch,195.4018,0.8696
mod-mismatch,204.1560,0.8696
mod-mismatch,121.6316,0.5217
mod-mismatch,212.8197,0.9130
mod-mismatch,205.2613,0.8261
mod-mismatch,223.7574,1.0000
mod-mismatch,189.3053,0.7826
mod-mismatch,208.1874,0.8696
mod-mismatch,177.2090,0.8571
mod-mismatch,126.1022,0.6190
mod-mismatch,147.7395,0.7143
mod-mismatch,180.2381,0.9048
mod-mismatch,181.0230,0.8571
mod-mismatch,195.3346,0.9524
mod-mismatch,171.0907,0.8571
mod-mismatch,183.8475,0.9048
mod-mismatch,185.7957,0.9048
mod-mismatch,214.6763,0.8696
mod-mismatch,215.4045,0.8750
mod-mismatch,233.8703,0.9130
mod-mismatch,188.0863,0.8261
mod-mismatch,225.8658,1.0000
mod-mismatch,247.6374,1.0000
mod-mismatch,228.6036,0.9545
mod-mismatch,236.5120,1.0000
mod-mismatch,227.9088,0.9545
mod-mismatch,223.8453,0.9545
mod-mismatch,174.2261,0.7273
mod-mismatch,227.2570,1.0000
mod-mismatch,216.5393,0.9091
mod-mismatch,233.3088,1.0000
mod-mismatch,244.2388,1.0000
mod-mismatch,217.4654,1.0000
mod-mismatch,170.6473,0.7273
mod-mismatch,227.4499,1.0000
mod-mismatch,175.7790,0.8182
mod-mismatch,174.3684,0.7727
mod-mismatch,196.0084,0.9091
mod-mismatch,183.2557,0.8636
mod-mismatch,226.3990,0.9545
mod-mismatch,193.3688,0.9091
mod-mismatch,203.4616,0.9091
mod-mismatch,198.2321,0.9545
mod-mismatch,120.1049,0.5000
mod-mismatch,215.9561,0.9091
mod-mismatch,214.3324,0.9545
mod-mismatch,190.0507,0.8636
mod-mismatch,193.0596,0.8636
mod-mismatch,185.4071,0.8182
mod-mismatch,179.1901,0.8636
mod-mismatch,193.0844,0.8636
mod-mismatch,198.5120,0.8636
mod-mismatch,197.7878,0.9091
mod-mismatch,207.8039,0.9091
mod-mismatch,225.1927,0.9545
mod-mismatch,203.9488,0.9545
mod-mismatch,231.5656,0.9545
mod-mismatch,251.8732,1.0000
mod-mismatch,225.5958,0.8750
mod-mismatch,237.4757,0.9167
mod-mismatch,213.2036,0.8750
mod-mismatch,225.2360,0.8750
mod-mismatch,227.8363,0.9545
mod-mismatch,190.6005,0.8636
mod-mismatch,191.7839,0.9091
mod-mismatch,205.4878,0.9545
mod-mismatch,192.6104,0.9091
mod-mismatch,186.7966,0.8636
mod-mismatch,215.1946,1.0000
mod-mismatch,224.8869,0.9545
mod-mismatch,210.0205,0.9545
mod-mismatch,212.6161,0.9091
mod-mismatch,206.0166,0.9091
mod-mismatch,187.7866,0.9091
mod-mismatch,245.3843,1.0000
mod-mismatch,211.9528,0.8696
mod-mismatch,231.6771,0.9565
mod-mismatch,84.8881,0.3478
mod-mismatch,220.4365,0.9565
mod-mismatch,212.7110,0.8696
mod-mismatch,200.8559,0.8261
mod-mismatch,226.2889,0.9130
mod-mismatch,234.1720,0.9167
mod-mismatch,176.5549,0.7083
mod-mismatch,223.6325,0.8750
mod-mismatch,225.2223,0.9130
mod-mismatch,245.7411,1.0000
mod-mismatch,230.4296,0.9130
mod-mismatch,205.0800,0.8261
mod-mismatch,222.4914,0.9130
