cond,class,euler_factors,sealed
2299,2299.a,null,0
2299,2299.b,null,0
2300,2300.a,null,0
2301,2301.a,null,0
2304,2304.a,null,0
2304,2304.b,null,0
2304,2304.c,null,0
2304,2304.d,null,0
2305,2305.a,null,0
2305,2305.b,null,0
2309,2309.a,null,0
2312,2312.a,null,0
2312,2312.b,null,0
2312,2312.c,null,0
2315,2315.a,null,0
2320,2320.a,null,0
2320,2320.b,null,0
2326,2326.a,null,0
2335,2335.a,null,0
2336,2336.a,null,0
2341,2341.a,null,0
2345,2345.a,null,0
2348,2348.a,null,0
2348,2348.b,null,0
2348,2348.c,null,0
2349,2349.a,null,0
2352,2352.a,null,0
2352,2352.b,null,0
2357,2357.a,null,0
2363,2363.a,null,0
2371,2371.a,null,0
2380,2380.a,null,0
2386,2386.a,null,0
2390,2390.a,null,0
2400,2400.a,null,0
2404,2404.a,null,0
2405,2405.a,null,0
2421,2421.a,null,0
2430,2430.a,null,0
2430,2430.b,null,0
2432,2432.a,null,0
2442,2442.a,null,0
2445,2445.a,null,0
2457,2457.a,null,0
2457,2457.b,null,0
2470,2470.a,null,0
2480,2480.a,null,0
2484,2484.a,null,0
2488,2488.a,null,0
2493,2493.a,null,0
2496,2496.a,null,0
2500,2500.a,null,0
2505,2505.a,null,0
2507,2507.a,null,0
2511,2511.a,null,0
2512,2512.a,null,0
2513,2513.a,null,0
2520,2520.a,null,0
2520,2520.b,null,0
2520,2520.c,null,0
2528,2528.a,null,0
2528,2528.b,null,0
2534,2534.a,null,0
2540,2540.a,null,0
2542,2542.a,null,0
2547,2547.a,null,0
2548,2548.a,null,0
2556,2556.a,null,0
2560,2560.a,null,0
2563,2563.a,null,0
2564,2564.a,null,0
2575,2575.a,null,0
2575,2575.b,null,0
2576,2576.a,null,0
2578,2578.a,null,0
2588,2588.a,null,0
2591,2591.a,null,0
2592,2592.a,null,0
2592,2592.b,null,0
2600,2600.a,null,0
2601,2601.a,null,0
2601,2601.b,null,0
2602,2602.a,null,0
2604,2604.a,null,0
2610,2610.a,null,0
2611,2611.a,null,0
2613,2613.a,null,0
2618,2618.a,null,0
2618,2618.b,null,0
2624,2624.a,null,0
2634,2634.a,null,0
2640,2640.a,null,0
2646,2646.a,null,0
2646,2646.b,null,0
2646,2646.c,null,0
2650,2650.a,null,0
2652,2652.a,null,0
2663,2663.a,null,0
2672,2672.a,null,0
2673,2673.a,null,0
2675,2675.a,null,0
2675,2675.b,null,0
2676,2676.a,null,0
2677,2677.a,null,0
2688,2688.a,null,0
2690,2690.a,null,0
2693,2693.a,null,0
2696,2696.a,null,0
2697,2697.a,null,0
2697,2697.b,null,0
2700,2700.a,null,0
2700,2700.b,null,0
2704,2704.a,null,0
2704,2704.b,null,0
2714,2714.a,null,0
2720,2720.a,null,0
2720,2720.b,null,0
2720,2720.c,null,0
2720,2720.d,null,0
2722,2722.a,null,0
2725,2725.a,null,0
2730,2730.a,null,0
2730,2730.b,null,0
2735,2735.a,null,0
2736,2736.a,null,0
2739,2739.a,null,0
2743,2743.a,null,0
2745,2745.a,null,0
2758,2758.a,null,0
2768,2768.a,null,0
2772,2772.a,null,0
2780,2780.a,null,0
2784,2784.a,null,0
2784,2784.b,null,0
2788,2788.a,null,0
2797,2797.a,null,0
2799,2799.a,null,0
2800,2800.a,null,0
2802,2802.a,null,0
2808,2808.a,null,0
2808,2808.b,null,0
2810,2810.a,null,0
2813,2813.a,null,0
2815,2815.a,null,0
2816,2816.a,null,0
2824,2824.a,null,0
2836,2836.a,null,0
2837,2837.a,null,0
2837,2837.b,null,0
2842,2842.a,null,0
2848,2848.a,null,0
2848,2848.b,null,0
2859,2859.a,null,0
2862,2862.a,null,0
2872,2872.a,null,0
2873,2873.a,null,0
2875,2875.a,null,0
2880,2880.a,null,0
2880,2880.b,null,0
2880,2880.c,null,0
2880,2880.d,null,0
2880,2880.e,null,0
2886,2886.a,null,0
2888,2888.a,null,0
2890,2890.a,null,0
2890,2890.b,null,0
2891,2891.a,null,0
2898,2898.a,null,0
2900,2900.a,null,0
2902,2902.a,null,0
2907,2907.a,null,0
2910,2910.a,null,0
2912,2912.a,null,0
2912,2912.b,null,0
2915,2915.a,null,0
2916,2916.a,null,0
2916,2916.b,null,0
2917,2917.a,null,0
2924,2924.a,null,0
2928,2928.a,null,0
2940,2940.a,null,0
2940,2940.b,null,0
2944,2944.a,null,0
2949,2949.a,null,0
2949,2949.b,null,0
2950,2950.a,null,0
2952,2952.a,null,0
2955,2955.a,null,0
2964,2964.a,null,0
2966,2966.a,null,0
2976,2976.a,null,0
2976,2976.b,null,0
2977,2977.a,null,0
2977,2977.b,null,0
2980,2980.a,null,0
2981,2981.a,null,0
2985,2985.a,null,0
3003,3003.a,null,0
3003,3003.b,null,0
3008,3008.a,null,0
3012,3012.a,null,0
3016,3016.a,null,0
3021,3021.a,null,0
3024,3024.a,null,0
3024,3024.b,null,0
3026,3026.a,null,0
3026,3026.b,null,0
3030,3030.a,null,0
3031,3031.a,null,0
3037,3037.a,null,0
3040,3040.a,null,0
3044,3044.a,null,0
3061,3061.a,null,0
3065,3065.a,null,0
3071,3071.a,null,0
3072,3072.a,null,0
3072,3072.b,null,0
3075,3075.a,null,0
3077,3077.a,null,0
3080,3080.a,null,0
3088,3088.a,null,0
3092,3092.a,null,0
3098,3098.a,null,0
3103,3103.a,null,0
3103,3103.b,null,0
3105,3105.a,null,0
3105,3105.b,null,0
3109,3109.a,null,0
3112,3112.a,null,0
3114,3114.a,null,0
3116,3116.a,null,0
3120,3120.a,null,0
3120,3120.b,null,0
3124,3124.a,null,0
3125,3125.a,null,0
3135,3135.a,null,0
3136,3136.a,null,0
3136,3136.b,null,0
3136,3136.c,null,0
3136,3136.d,null,0
3138,3138.a,null,0
3142,3142.a,null,0
3142,3142.b,null,0
3145,3145.a,null,0
3145,3145.b,null,0
3150,3150.a,null,0
3150,3150.b,null,0
3152,3152.a,null,0
3153,3153.a,null,0
3159,3159.a,null,0
3160,3160.a,null,0
3161,3161.a,null,0
3161,3161.b,null,0
3161,3161.c,null,0
3165,3165.a,null,0
3168,3168.a,null,0
3172,3172.a,null,0
3174,3174.a,null,0
3176,3176.a,null,0
3177,3177.a,null,0
3179,3179.a,null,0
3183,3183.a,null,0
3189,3189.a,null,0
3196,3196.a,null,0
3200,3200.a,null,0
3200,3200.b,null,0
3200,3200.c,null,0
3200,3200.d,null,0
3200,3200.e,null,0
3200,3200.f,null,0
3209,3209.a,null,0
3211,3211.a,null,0
3211,3211.b,null,0
3211,3211.c,null,0
3215,3215.a,null,0
3219,3219.a,null,0
3222,3222.a,null,0
3226,3226.a,null,0
3227,3227.a,null,0
3237,3237.a,null,0
3239,3239.a,null,0
3239,3239.b,null,0
3240,3240.a,null,0
3245,3245.a,null,0
3248,3248.a,null,0
3251,3251.a,null,0
3264,3264.a,null,0
3274,3274.a,null,0
3275,3275.a,null,0
3280,3280.a,null,0
3285,3285.a,null,0
3285,3285.b,null,0
3298,3298.a,null,0
3298,3298.b,null,0
3304,3304.a,null,0
3312,3312.a,null,0
3312,3312.b,null,0
3312,3312.c,null,0
3313,3313.a,null,0
3317,3317.a,null,0
3319,3319.a,null,0
3320,3320.a,null,0
3320,3320.b,null,0
3321,3321.a,null,0
3321,3321.b,null,0
3327,3327.a,null,0
3328,3328.a,null,0
3328,3328.b,null,0
3330,3330.a,null,0
3333,3333.a,null,0
3336,3336.a,null,0
3336,3336.b,null,0
3336,3336.c,null,0
3344,3344.a,null,0
3344,3344.b,null,0
3349,3349.a,null,0
3349,3349.b,null,0
3360,3360.a,null,0
3360,3360.b,null,0
3364,3364.a,null,0
3370,3370.a,null,0
3372,3372.a,null,0
3381,3381.a,null,0
3388,3388.a,null,0
3388,3388.b,null,0
3391,3391.a,null,0
3391,3391.b,null,0
3392,3392.a,null,0
3392,3392.b,null,0
3392,3392.c,null,0
3397,3397.a,null,0
3400,3400.a,null,0
3400,3400.b,null,0
3402,3402.a,null,0
3411,3411.a,null,0
3412,3412.a,null,0
3416,3416.a,null,0
3417,3417.a,null,0
3423,3423.a,null,0
3424,3424.a,null,0
3426,3426.a,null,0
3426,3426.b,null,0
3428,3428.a,null,0
3429,3429.a,null,0
3431,3431.a,null,0
3434,3434.a,null,0
3434,3434.b,null,0
3436,3436.a,null,0
3447,3447.a,null,0
3449,3449.a,null,0
3454,3454.a,null,0
3454,3454.b,null,0
3456,3456.a,null,0
3456,3456.b,null,0
3456,3456.c,null,0
3456,3456.d,null,0
3456,3456.e,null,0
3462,3462.a,null,0
3465,3465.a,null,0
3468,3468.a,null,0
3468,3468.b,null,0
3469,3469.a,null,0
3483,3483.a,null,0
3489,3489.a,null,0
3490,3490.a,null,0
3492,3492.a,null,0
3499,3499.a,null,0
3504,3504.a,null,0
3513,3513.a,null,0
3515,3515.a,null,0
3515,3515.b,null,0
3520,3520.a,null,0
3520,3520.b,null,0
3521,3521.a,null,0
3527,3527.a,null,0
3528,3528.a,null,0
3528,3528.b,null,0
3528,3528.c,null,0
3528,3528.d,null,0
3530,3530.a,null,0
3549,3549.a,null,0
3550,3550.a,null,0
3552,3552.a,null,0
3557,3557.a,null,0
3561,3561.a,null,0
3561,3561.b,null,0
3564,3564.a,null,0
3564,3564.b,null,0
3565,3565.a,null,0
3565,3565.b,null,0
3566,3566.a,null,0
3566,3566.b,null,0
3568,3568.a,null,0
3568,3568.b,null,0
3568,3568.c,null,0
3568,3568.d,null,0
3570,3570.a,null,0
3571,3571.a,null,0
3572,3572.a,null,0
3572,3572.b,null,0
3578,3578.a,null,0
3584,3584.a,null,0
3584,3584.b,null,0
3584,3584.c,null,0
3589,3589.a,null,0
3589,3589.b,null,0
3591,3591.a,null,0
3600,3600.a,null,0
3600,3600.b,null,0
3601,3601.a,null,0
3601,3601.b,null,0
3616,3616.a,null,0
3616,3616.b,null,0
3618,3618.a,null,0
3622,3622.a,null,0
3626,3626.a,null,0
3628,3628.a,null,0
3629,3629.a,null,0
3630,3630.a,null,0
3634,3634.a,null,0
3637,3637.a,null,0
3640,3640.a,null,0
3644,3644.a,null,0
3644,3644.b,null,0
3645,3645.a,null,0
3646,3646.a,null,0
3648,3648.a,null,0
3648,3648.b,null,0
3650,3650.a,null,0
3655,3655.a,null,0
3661,3661.a,null,0
3664,3664.a,null,0
3664,3664.b,null,0
3675,3675.a,null,0
3680,3680.a,null,0
3680,3680.b,null,0
3701,3701.a,null,0
3701,3701.b,null,0
3701,3701.c,null,0
3705,3705.a,null,0
3705,3705.b,null,0
3709,3709.a,null,0
3712,3712.a,null,0
3712,3712.b,null,0
3712,3712.c,null,0
3712,3712.d,null,0
3716,3716.a,null,0
3718,3718.a,null,0
3721,3721.a,null,0
3726,3726.a,null,0
3732,3732.a,null,0
3732,3732.b,null,0
3735,3735.a,null,0
3744,3744.a,null,0
3746,3746.a,null,0
3746,3746.b,null,0
3746,3746.c,null,0
3750,3750.a,null,0
3753,3753.a,null,0
3759,3759.a,null,0
3764,3764.a,null,0
3766,3766.a,null,0
3775,3775.a,null,0
3776,3776.a,null,0
3776,3776.b,null,0
3776,3776.c,null,0
3779,3779.a,null,0
3779,3779.b,null,0
3787,3787.a,null,0
3787,3787.b,null,0
3788,3788.a,null,0
3788,3788.b,null,0
3792,3792.a,null,0
3792,3792.b,null,0
3797,3797.a,null,0
3798,3798.a,null,0
3807,3807.a,null,0
3812,3812.a,null,0
3824,3824.a,null,0
3827,3827.a,null,0
3830,3830.a,null,0
3836,3836.a,null,0
3840,3840.a,null,0
3840,3840.b,null,0
3846,3846.a,null,0
3852,3852.a,null,0
3854,3854.a,null,0
3860,3860.a,null,0
3864,3864.a,null,0
3866,3866.a,null,0
3871,3871.a,null,0
3872,3872.a,null,0
3872,3872.b,null,0
3879,3879.a,null,0
3883,3883.a,null,0
3887,3887.a,null,0
3888,3888.a,null,0
3897,3897.a,null,0
3904,3904.a,null,0
3904,3904.b,null,0
3904,3904.c,null,0
3904,3904.d,null,0
3908,3908.a,null,0
3914,3914.a,null,0
3920,3920.a,null,0
3920,3920.b,null,0
3920,3920.c,null,0
3940,3940.a,null,0
3940,3940.b,null,0
3942,3942.a,null,0
