label,class,cond,abs_disc,eqn,bad_lfactors,is_gl2_type,end_alg,geom_end_alg,st_group,Lhash,sealed
8396.b.134336.1,8396.b,8396,134336,"""[[4,6,3,0,1,1],[1,0,0,1]]""","""[[2,[1,0,-1]],[2099,[1,13,2111,2099]]]""",False,Q,Q,USp(4),1961542413177904758,0
8400.a.8400.1,8400.a,8400,8400,"""[[105,0,72,0,16,0,1],[0,1,0,1]]""","""[[2,[1,-1,2]],[3,[1,-1,3,-3]],[5,[1,-2,1]],[7,[1,-5,11,-7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),244955300028751689,0
8400.b.420000.1,8400.b,8400,420000,"""[[42,0,25,0,4],[0,1,0,1]]""","""[[2,[1,1]],[3,[1,1,3,3]],[5,[1,0,-1]],[7,[1,5,11,7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),609593150105260014,0
8424.a.303264.1,8424.a,8424,303264,"""[[-26,0,23,0,-5],[0,1,0,1]]""","""[[2,[1,1]],[3,[1]],[13,[1,-1,11,13]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),1201055548105603695,0
8436.a.269952.1,8436.a,8436,269952,"""[[0,1,-1,1,1],[1,0,0,1]]""","""[[2,[1,0,-1]],[3,[1,3,5,3]],[19,[1,5,13,-19]],[37,[1,-6,42,-37]]]""",False,Q,Q,USp(4),528712617696432278,0
8441.a.8441.1,8441.a,8441,8441,"""[[-1,-1,0,0,1],[1,0,1,1]]""","""[[23,[1,-4,26,-23]],[367,[1,-27,393,-367]]]""",False,Q,Q,USp(4),1738610290456687591,0
8447.a.8447.1,8447.a,8447,8447,"""[[0,3,-2,4,-1,1],[1,1]]""","""[[8447,[1,3,8443,-8447]]]""",False,Q,Q,USp(4),1305013330816757679,0
8448.a.33792.1,8448.a,8448,33792,"""[[1,-2,3,-1,0,1],[]]""","""[[2,[1]],[3,[1,0,2,3]],[11,[1,-1,11,-11]]]""",False,Q,Q,USp(4),672893609020943349,0
8450.a.8450.1,8450.a,8450,8450,"""[[0,21,-5,-9,1,1],[1,1]]""","""[[2,[1,1,0,-2]],[5,[1,0,1]],[13,[1,6,13]]]""",False,Q,Q,USp(4),1921283935120683331,0
8450.b.67600.1,8450.b,8450,67600,"""[[0,1,4,5,4,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[5,[1,0,-1]],[13,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),903701545956835610,0
8450.c.84500.1,8450.c,8450,84500,"""[[0,0,-5,10,-5],[1,0,0,1]]""","""[[2,[1,2,3,2]],[5,[1,0,-1]],[13,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1823307699705858345,0
8451.a.8451.1,8451.a,8451,8451,"""[[-1,0,-1,0,-1],[1,1,0,1]]""","""[[3,[1,2,3]],[313,[1,4,316,313]]]""",False,Q,Q,USp(4),65567467778680970,0
8451.b.76059.1,8451.b,8451,76059,"""[[1,0,-6,7,-3,1],[0,1]]""","""[[3,[1,2,3]],[313,[1,7,319,313]]]""",False,Q,Q,USp(4),1971932132115371173,0
8452.a.16904.1,8452.a,8452,16904,"""[[0,1,1,-3,-2,1],[1,1,0,1]]""","""[[2,[1,1,1]],[2113,[1,35,2147,2113]]]""",False,Q,Q,USp(4),1025284610464751701,0
8452.b.16904.1,8452.b,8452,16904,"""[[-12,5,10,-4,-3],[1,0,1,1]]""","""[[2,[1,1,1]],[2113,[1,61,2051,-2113]]]""",False,Q,Q,USp(4),55056182624253434,0
8452.c.270464.1,8452.c,8452,270464,"""[[4,2,4,1,1],[0,1,1,1]]""","""[[2,[1,0,-1]],[2113,[1,83,2195,2113]]]""",False,Q,Q,USp(4),1126355767063160187,0
8454.a.16908.1,8454.a,8454,16908,"""[[1,-1,0,1,-2],[0,1,1,1]]""","""[[2,[1,0,1,2]],[3,[1,1,3,3]],[1409,[1,-3,1411,-1409]]]""",False,Q,Q,USp(4),998428478463775758,0
8462.a.33848.1,8462.a,8462,33848,"""[[-4,-2,-10,-3,-9,-1,-3],[0,1]]""","""[[2,[1,1,0,-2]],[4231,[1,92,4138,-4231]]]""",False,Q,Q,USp(4),2302738141910900111,0
8462.b.541568.1,8462.b,8462,541568,"""[[3,5,4,2,1],[0,0,1,1]]""","""[[2,[1,1,0,-2]],[4231,[1,8,4238,4231]]]""",False,Q,Q,USp(4),1600600186485756393,0
8468.a.618164.1,8468.a,8468,618164,"""[[-9,-10,-1,0,-1],[0,1,1,1]]""","""[[2,[1,0,1]],[29,[1,-9,37,-29]],[73,[1,5,77,73]]]""",False,Q,Q,USp(4),374462687387575251,0
8470.a.42350.1,8470.a,8470,42350,"""[[-3,4,0,11,0,4,-3],[0,1,1]]""","""[[2,[1,0,1,2]],[5,[1,-3,7,-5]],[7,[1,1,7,7]],[11,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1275592799514399687,0
8474.a.16948.1,8474.a,8474,16948,"""[[5,1,7,2,2],[0,1,1,1]]""","""[[2,[1,0,1,-2]],[19,[1,1,17,-19]],[223,[1,-7,215,223]]]""",False,Q,Q,USp(4),589060216520498451,0
8475.a.8475.1,8475.a,8475,8475,"""[[1,5,5,-2,-3,1],[1]]""","""[[3,[1,-2,4,-3]],[5,[1,0,5]],[113,[1,-7,119,-113]]]""",False,Q,Q,USp(4),469218861091905974,0
8480.a.84800.1,8480.a,8480,84800,"""[[-1,-2,0,1,1],[0,0,1,1]]""","""[[2,[1,1]],[5,[1,3,7,5]],[53,[1,-3,55,-53]]]""",False,Q,Q,USp(4),1957813936112992175,0
8485.a.8485.1,8485.a,8485,8485,"""[[0,-1,2,-1,0,1],[1]]""","""[[5,[1,1,3,-5]],[1697,[1,-33,1663,1697]]]""",False,Q,Q,USp(4),954229104965019715,0
8489.a.8489.1,8489.a,8489,8489,"""[[0,-1,1,0,1],[1,0,1,1]]""","""[[13,[1,-4,16,-13]],[653,[1,15,667,653]]]""",False,Q,Q,USp(4),1260994884056392161,0
8490.a.50940.1,8490.a,8490,50940,"""[[-4,0,5,2,2,3,1],[1,1,1]]""","""[[2,[1,0,1,2]],[3,[1,1,3,3]],[5,[1,1,3,-5]],[283,[1,29,311,283]]]""",False,Q,Q,USp(4),2187965788573987112,0
8490.b.84900.1,8490.b,8490,84900,"""[[-1,2,-3,1,1,-2,1],[1,0,0,1]]""","""[[2,[1,-2,3,-2]],[3,[1,-1,1,3]],[5,[1,-1,3,5]],[283,[1,19,263,-283]]]""",False,Q,Q,USp(4),88163846958009167,0
8492.a.373648.1,8492.a,8492,373648,"""[[0,1,0,-2,3,-2,1],[1]]""","""[[2,[1,0,2]],[11,[1,1,11,11]],[193,[1,2,194,193]]]""",False,Q,Q,USp(4),2045685382239267141,0
8510.a.17020.1,8510.a,8510,17020,"""[[1,0,-1],[1,0,0,1]]""","""[[2,[1,0,1,2]],[5,[1,2,2,-5]],[23,[1,7,29,23]],[37,[1,1,37,37]]]""",False,Q,Q,USp(4),465849765520623639,0
8511.a.25533.1,8511.a,8511,25533,"""[[-1,2,0,-6,0,5,2],[1,1]]""","""[[3,[1,-1,1,3]],[2837,[1,43,2879,2837]]]""",False,Q,Q,USp(4),609161747280542132,0
8511.b.229797.1,8511.b,8511,229797,"""[[2,1,0,-1,-2,1],[1,0,1]]""","""[[3,[1,-1,3,-3]],[2837,[1,55,2891,2837]]]""",False,Q,Q,USp(4),405982923421984892,0
8512.a.272384.1,8512.a,8512,272384,"""[[1,-3,1,-1,1],[0,1,0,1]]""","""[[2,[1,1]],[7,[1,6,12,7]],[19,[1,-3,21,-19]]]""",False,Q,Q,USp(4),915629094129538272,0
