Baselabel,Conductor,BadPrimes,HardPrimes,Is_Even,Indicator,LocalFactors,euler_factors,sealed
2.456.4t3.b,456,"[2, 3, 19]","[2, 3, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]","[[1, -1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, -2, 1], [1, 0, 1], [1, 2, 1]]",0
2.456.4t3.c,456,"[2, 3, 19]","[2, 3, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.456.4t3.d,456,"[2, 3, 19]","[2, 3, 19]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.456.4t3.e,456,"[2, 3, 19]","[2, 3, 19, 67]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.456.4t3.f,456,"[2, 3, 19]","[2, 3, 19, 233]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1], [1]]]",null,0
2.459.3t2.a,459,"[3, 17]","[2, 3, 17]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]",null,0
2.459.3t2.b,459,"[3, 17]","[2, 3, 17]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1, 0, -1], [1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, -2, 1]]",0
2.459.6t3.a,459,"[3, 17]","[2, 3, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]",null,0
2.459.6t3.b,459,"[3, 17]","[2, 3, 17]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]","[[1, 0, -1], [1], [1, -1, 1], [1, 0, -1], [1, 2, 1], [1, 1, 1], [1, 1], [1, 1, 1], [1, -1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, -1, 1], [1, 0, -1], [1, 2, 1]]",0
2.460.3t2.a,460,"[2, 5, 23]","[2, 5, 23]",False,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1]], [[1], [-1]]]","[[1], [1, 0, -1], [1, -1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, -2, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, 1, 1], [1, 0, -1], [1, -2, 1], [1, 1, 1], [1, -2, 1], [1, 1, 1], [1, 0, -1], [1, 1, 1]]",0
2.460.6t3.a,460,"[2, 5, 23]","[2, 3, 5, 23]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]",null,0
2.460.6t3.b,460,"[2, 5, 23]","[2, 3, 5, 23]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1]], [[1], [1]]]","[[1], [1, 0, -1], [1, 1], [1, -1, 1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 1], [1, 1, 1], [1, 1, 1], [1, -1, 1], [1, 1, 1], [1, 2, 1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, -1, 1], [1, 1, 1], [1, 0, -1], [1, 0, -1], [1, -1, 1], [1, 0, -1], [1, 2, 1], [1, 1, 1], [1, 2, 1], [1, -1, 1], [1, 0, -1], [1, -1, 1]]",0
2.464.4t3.a,464,"[2, 29]","[2, 5, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]","[[1], [1, 0, 1], [1, -2, 1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1]]",0
2.464.4t3.b,464,"[2, 29]","[2, 5, 7, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.464.4t3.c,464,"[2, 29]","[2, 29]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1]], [[1], [1]]]",null,0
2.468.4t3.a,468,"[2, 3, 13]","[2, 3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1]]]","[[1, 1], [1], [1, 0, -1], [1, 0, 1], [1, -2, 1], [1, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, 1], [1, 2, 1], [1, 2, 1], [1, 0, 1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1]]",0
2.468.4t3.b,468,"[2, 3, 13]","[2, 3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1]], [[1], [1]]]","[[1, -1], [1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, -2, 1], [1, 2, 1], [1, 0, 1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1]]",0
2.468.4t3.c,468,"[2, 3, 13]","[2, 3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1]], [[1], [1]]]",null,0
2.468.4t3.d,468,"[2, 3, 13]","[2, 3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1]]]",null,0
2.468.4t3.e,468,"[2, 3, 13]","[2, 3, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [1]], [[1]]]",null,0
2.468.4t3.f,468,"[2, 3, 13]","[2, 3, 5, 11, 13]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]], [[1]], [[1], [1]]]",null,0
2.469.3t2.a,469,"[7, 67]","[7, 67]",True,1,"[[[1], [-2], [1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1]]]",null,0
2.469.6t3.a,469,"[7, 67]","[2, 7, 67]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.469.6t3.b,469,"[7, 67]","[2, 7, 67]",True,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [1], [1]], [[1], [-1], [1]], [[1], [1]], [[1], [-1]]]",null,0
2.471.4t3.a,471,"[3, 157]","[3, 157]",False,1,"[[[1], [-2], [1]], [[1], [2], [1]], [[1], [0], [-1]], [[1], [0], [-1]], [[1], [0], [1]], [[1], [-1]]]","[[1, 0, 1], [1, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 2, 1], [1, 0, 1], [1, 0, 1], [1, 2, 1], [1, 2, 1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, 1], [1, 0, -1], [1, -2, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, -1], [1, 0, 1], [1, 2, 1], [1, 0, -1]]",0
