label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
639.2.a.d,639,2,0,1,0,-1,-6,4,-5,0,-8,3,-3,-4,3,-15,-3,5,3,0,0,-17,2,-10,-1,6,-12,-9
639.2.a.e,639,2,0,2,0,0,-4,0,-4,4,0,-8,16,-4,8,12,0,8,-12,16,-12,4,2,-16,0,0,16,-4
639.2.a.f,639,2,0,3,0,5,-4,8,-1,4,-8,3,-3,8,-1,17,-15,-15,-9,-4,10,-5,-2,2,-5,12,14,5
639.2.a.g,639,3,0,0,0,3,2,2,12,-2,11,-8,5,-6,9,-14,-17,10,0,22,8,-12,-3,3,7,-23,-13,4
639.2.a.h,639,3,0,1,0,-5,2,0,-6,2,1,12,-11,12,-15,2,13,-4,18,4,16,-12,-3,27,-3,19,-1,22
639.2.a.i,639,4,0,-3,0,3,6,-2,5,8,8,1,5,2,19,19,25,-7,5,-10,2,35,-4,2,-1,-18,16,-1
639.2.a.j,639,4,0,0,0,-8,2,-10,4,-14,0,-10,4,-8,-14,-24,2,-4,-12,6,-6,-4,-4,16,-2,-4,-16,-18
639.2.a.k,639,4,0,0,0,8,2,10,4,14,0,10,-4,-8,-14,24,2,4,12,-6,-6,-4,4,16,-2,4,16,-18
640.2.a.a,640,1,0,0,-2,-1,0,-2,2,6,-6,0,10,8,2,-6,2,12,10,6,-6,14,4,-10,-8,-10,14,6
640.2.a.b,640,1,0,0,-2,1,0,-2,-2,6,-6,0,-10,-8,-2,-6,2,-12,-10,6,6,14,-4,-10,8,-10,14,6
640.2.a.c,640,1,0,0,0,-1,-2,6,-2,-6,-2,-6,-6,-4,-6,-2,4,10,-2,10,10,-4,-16,-6,0,-8,6,2
640.2.a.d,640,1,0,0,0,-1,2,-6,-2,-6,2,6,-6,4,-6,-2,-4,-10,-2,-10,10,4,16,-6,0,8,6,2
640.2.a.e,640,1,0,0,0,1,-2,-6,2,-6,2,-6,6,-4,6,-2,-4,10,2,-10,-10,4,-16,-6,0,8,6,2
640.2.a.f,640,1,0,0,0,1,2,6,2,-6,-2,6,6,4,6,-2,4,-10,2,10,-10,-4,16,-6,0,-8,6,2
640.2.a.g,640,1,0,0,2,-1,0,2,2,6,6,0,10,-8,2,-6,-2,-12,10,-6,-6,-14,-4,-10,8,10,14,6
640.2.a.h,640,1,0,0,2,1,0,2,-2,6,6,0,-10,8,-2,-6,-2,12,-10,-6,6,-14,4,-10,-8,10,14,6
640.2.a.i,640,2,0,0,-2,-2,-2,-4,0,0,0,-14,-4,4,-4,16,-2,-10,-8,-8,-12,2,4,0,8,6,-12,-24
640.2.a.j,640,2,0,0,-2,2,2,-4,0,0,0,14,4,-4,4,16,-2,10,8,-8,12,2,-4,0,-8,6,-12,-24
640.2.a.k,640,2,0,0,2,-2,2,4,0,0,0,14,-4,-4,-4,16,2,10,-8,8,-12,-2,-4,0,-8,-6,-12,-24
