label,level_norm,level_label,dimension,weight,is_base_change,is_CM,sealed,eigs25
2.2.8.1-153.1-a,153,153.1,1,"[2, 2]",no,no,0,"[2, 2, -2, -1, -1, 6, 0, -4, -2, -6, -2, -6, 10, -8, 8, 12, 8, 10, 2, -2, -6, -10, 14, -2, 14]"
2.2.8.1-153.2-a,153,153.2,1,"[2, 2]",no,no,0,"[2, -2, 2, -1, 6, -1, -4, 0, -2, -2, -6, 10, -6, 8, -8, 8, 12, 2, 10, -6, -2, 14, -10, 14, -2]"
2.2.8.1-158.1-a,158,158.1,1,"[2, 2]",no,no,0,"[-1, -4, -4, -2, 0, -6, 0, 6, 2, -10, -4, 0, 6, -12, 12, 0, -12, 2, 2, 8, 1, -6, 18, -10, 2]"
2.2.8.1-158.2-a,158,158.2,1,"[2, 2]",no,no,0,"[-1, -4, -4, -2, -6, 0, 6, 0, 2, -4, -10, 6, 0, 12, -12, -12, 0, 2, 2, 1, 8, 18, -6, 2, -10]"
2.2.8.1-161.1-a,161,161.1,1,"[2, 2]",no,no,0,"[-1, -2, -1, -4, -8, -4, -2, 1, 6, -4, 4, -6, -6, 2, 8, -16, 14, 6, -8, 0, -4, 18, -10, -2, -10]"
2.2.8.1-161.2-a,161,161.2,1,"[2, 2]",no,no,0,"[-1, 0, -1, 2, 2, 2, -1, 0, 10, 8, -8, 10, -6, 8, 0, -8, 0, 10, -14, -8, 8, 2, -14, -6, -6]"
2.2.8.1-161.3-a,161,161.3,1,"[2, 2]",no,no,0,"[-1, -1, 0, 2, 2, 2, 0, -1, 10, -8, 8, -6, 10, 0, 8, 0, -8, -14, 10, 8, -8, -14, 2, -6, -6]"
2.2.8.1-161.4-a,161,161.4,1,"[2, 2]",no,no,0,"[-1, -1, -2, -4, -4, -8, 1, -2, 6, 4, -4, -6, -6, 8, 2, 14, -16, -8, 6, -4, 0, -10, 18, -10, -2]"
2.2.8.1-164.1-a,164,164.1,1,"[2, 2]",no,no,0,"[0, 4, 0, -2, 2, -2, 4, 0, -6, 4, -8, 1, -6, 8, 8, 8, 0, 2, -14, -16, 0, -14, -10, 10, -2]"
2.2.8.1-164.2-a,164,164.2,1,"[2, 2]",no,no,0,"[0, 0, 4, -2, -2, 2, 0, 4, -6, -8, 4, -6, 1, 8, 8, 0, 8, -14, 2, 0, -16, -10, -14, -2, 10]"
2.2.8.1-167.1-a,167,167.1,1,"[2, 2]",no,no,0,"[0, -1, -5, -1, -7, -2, -2, -7, 4, 8, 6, 6, -2, -12, -6, -5, -4, 6, 6, -14, 3, 15, -6, 8, 8]"
2.2.8.1-167.1-b,167,167.1,1,"[2, 2]",no,no,0,"[-2, -5, -1, -1, 1, 6, -6, -3, -8, -8, -2, -2, -10, -8, 6, -1, 12, 2, -2, 10, 15, -1, 10, -12, 12]"
2.2.8.1-167.2-a,167,167.2,1,"[2, 2]",no,no,0,"[0, -5, -1, -1, -2, -7, -7, -2, 4, 6, 8, -2, 6, -6, -12, -4, -5, 6, 6, 3, -14, -6, 15, 8, 8]"
2.2.8.1-167.2-b,167,167.2,1,"[2, 2]",no,no,0,"[-2, -1, -5, -1, 6, 1, -3, -6, -8, -2, -8, -10, -2, 6, -8, 12, -1, -2, 2, 15, 10, 10, -1, 12, -12]"
2.2.8.1-169.1-a,169,169.1,1,"[2, 2]",yes,no,0,"[-2, 3, 3, 5, -7, -7, 4, 4, 1, -8, -8, 2, 2, -7, -7, -3, -3, 14, 14, -10, -10, 0, 0, 8, 8]"
2.2.8.1-175.1-a,175,175.1,1,"[2, 2]",no,no,0,"[-1, 1, -4, -4, 0, -6, -4, 2, -1, -8, -2, 10, -2, -4, -4, -10, 8, 4, -2, 16, -14, -4, 14, 14, 8]"
